date,ebene1,ebene2,ebene3,bestand,fluss
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,576.0,
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,601.1,
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,634.2,
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,651.1,
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,670.5,
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,676.6,
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,694.8,
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,694.4,
2011-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,702.2,
2011-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,710.3,
2011-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,727.5,
2012-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,738.0,
2012-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,761.8,
2012-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,787.0,
2012-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,818.8,
2013-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,837.3,
2013-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,862.9,
2013-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,879.3,
2013-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,908.2,
2014-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,916.4,
2014-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,936.4,
2014-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,948.3,
2014-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,981.9,
2015-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1001.2,
2015-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1035.6,
2015-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1050.7,
2015-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1082.9,
2016-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1090.3,
2016-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1118.4,
2016-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1142.0,
2016-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1188.6,
2017-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1201.9,
2017-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1231.8,
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1252.5,
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1288.4,
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,1300.5,
