date,ebene1,ebene2,ebene3,bestand,fluss
2014-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,11.9
2014-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,33.6
2015-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,19.3
2015-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,34.4
2015-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,15.0
2015-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,32.2
2016-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,7.2
2016-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,28.1
2016-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,23.4
2016-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,46.5
2017-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,13.3
2017-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,30.0
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,20.7
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,35.9
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,12.2
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,34.1
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,21.4
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,42.2
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.2
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,34.4
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.3
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,42.2
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,18.7
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,58.6
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,31.8
