date,ebene1,ebene2,ebene3,bestand,fluss
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,144.3,
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,138.4,
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,145.7,
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,149.1,
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,164.6,
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,152.9,
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,156.3,
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,156.6,
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,174.9,
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,165.4,
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,167.4,
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,165.6,
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,176.8,
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,165.5,
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,162.7,
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,173.3,
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,187.3,
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,190.8,
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,207.2,
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,223.8,
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,245.2,
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,243.5,
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,241.2,
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,242.8,
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,240.3,
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,240.3,
2011-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,235.8,
2011-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,243.5,
