date,ebene1,ebene2,ebene3,bestand,fluss
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,9.9
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,2.6
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,13.1
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-7.5
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,6.5
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,1.2
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,5.5
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-5.8
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,7.2
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.4
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.1
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-11.7
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.4
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,0.3
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,18.3
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-9.5
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,2.1
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.8
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,11.1
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-11.3
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-2.9
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,10.0
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,14.0
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.8
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.6
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.6
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,21.4
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.6
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.3
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,1.5
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.6
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-0.1
2011-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-4.5
2011-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,7.6
2011-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.8
2012-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-3.2
2012-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,10.1
2012-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.2
2012-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,24.2
2013-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-20.3
2013-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,5.7
2013-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,19.8
2013-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,10.0
2014-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-13.6
2014-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,1.1
2014-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,20.2
2014-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,4.5
2015-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-4.2
2015-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,5.3
2015-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.7
2015-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.7
2016-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-6.2
2016-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,6.8
2016-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,13.3
2016-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,12.4
2017-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-5.8
2017-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,19.8
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-2.4
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,13.9
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-9.7
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,5.6
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.9
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,9.3
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,0.9
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.0
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,23.0
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.4
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-3.9
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,28.9
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,24.4
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.2
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,23.2
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-2.0
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,23.3
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.1
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,13.5
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-5.2
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,9.8
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-7.0
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-37.9
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-18.9
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.1
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,9.7
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-33.1
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,2.3
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,24.2
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,32.1
2000-01-01,Einlagen,Termineinlagen,Termineinlagen,,9.6
2000-04-01,Einlagen,Termineinlagen,Termineinlagen,,-3.0
2000-07-01,Einlagen,Termineinlagen,Termineinlagen,,0.7
2000-10-01,Einlagen,Termineinlagen,Termineinlagen,,-11.7
2001-01-01,Einlagen,Termineinlagen,Termineinlagen,,7.7
2001-04-01,Einlagen,Termineinlagen,Termineinlagen,,-5.7
2001-07-01,Einlagen,Termineinlagen,Termineinlagen,,1.3
2001-10-01,Einlagen,Termineinlagen,Termineinlagen,,13.8
2002-01-01,Einlagen,Termineinlagen,Termineinlagen,,-9.1
2002-04-01,Einlagen,Termineinlagen,Termineinlagen,,3.8
2002-07-01,Einlagen,Termineinlagen,Termineinlagen,,7.8
2002-10-01,Einlagen,Termineinlagen,Termineinlagen,,7.1
2003-01-01,Einlagen,Termineinlagen,Termineinlagen,,2.4
2003-04-01,Einlagen,Termineinlagen,Termineinlagen,,-1.2
2003-07-01,Einlagen,Termineinlagen,Termineinlagen,,7.4
2003-10-01,Einlagen,Termineinlagen,Termineinlagen,,4.3
2004-01-01,Einlagen,Termineinlagen,Termineinlagen,,-4.7
2004-04-01,Einlagen,Termineinlagen,Termineinlagen,,-3.6
2004-07-01,Einlagen,Termineinlagen,Termineinlagen,,14.0
2004-10-01,Einlagen,Termineinlagen,Termineinlagen,,7.0
2005-01-01,Einlagen,Termineinlagen,Termineinlagen,,-7.3
2005-04-01,Einlagen,Termineinlagen,Termineinlagen,,6.0
2005-07-01,Einlagen,Termineinlagen,Termineinlagen,,6.0
2005-10-01,Einlagen,Termineinlagen,Termineinlagen,,-0.5
2006-01-01,Einlagen,Termineinlagen,Termineinlagen,,0.8
2006-04-01,Einlagen,Termineinlagen,Termineinlagen,,7.4
2006-07-01,Einlagen,Termineinlagen,Termineinlagen,,-5.0
2006-10-01,Einlagen,Termineinlagen,Termineinlagen,,2.6
2007-01-01,Einlagen,Termineinlagen,Termineinlagen,,-1.5
2007-04-01,Einlagen,Termineinlagen,Termineinlagen,,3.7
2007-07-01,Einlagen,Termineinlagen,Termineinlagen,,19.3
2007-10-01,Einlagen,Termineinlagen,Termineinlagen,,9.5
2008-01-01,Einlagen,Termineinlagen,Termineinlagen,,-1.0
2008-04-01,Einlagen,Termineinlagen,Termineinlagen,,-4.4
2008-07-01,Einlagen,Termineinlagen,Termineinlagen,,5.9
2008-10-01,Einlagen,Termineinlagen,Termineinlagen,,-15.3
2009-01-01,Einlagen,Termineinlagen,Termineinlagen,,-5.3
2009-04-01,Einlagen,Termineinlagen,Termineinlagen,,-6.4
2009-07-01,Einlagen,Termineinlagen,Termineinlagen,,-6.1
2009-10-01,Einlagen,Termineinlagen,Termineinlagen,,-23.1
2010-01-01,Einlagen,Termineinlagen,Termineinlagen,,6.4
2010-04-01,Einlagen,Termineinlagen,Termineinlagen,,-23.5
2010-07-01,Einlagen,Termineinlagen,Termineinlagen,,19.7
2010-10-01,Einlagen,Termineinlagen,Termineinlagen,,8.9
2011-01-01,Einlagen,Termineinlagen,Termineinlagen,,7.9
2011-04-01,Einlagen,Termineinlagen,Termineinlagen,,-11.4
2011-07-01,Einlagen,Termineinlagen,Termineinlagen,,-24.4
2011-10-01,Einlagen,Termineinlagen,Termineinlagen,,4.9
2012-01-01,Einlagen,Termineinlagen,Termineinlagen,,-15.1
2012-04-01,Einlagen,Termineinlagen,Termineinlagen,,-27.1
2012-07-01,Einlagen,Termineinlagen,Termineinlagen,,-10.1
2012-10-01,Einlagen,Termineinlagen,Termineinlagen,,5.2
2013-01-01,Einlagen,Termineinlagen,Termineinlagen,,5.7
2013-04-01,Einlagen,Termineinlagen,Termineinlagen,,-7.8
2013-07-01,Einlagen,Termineinlagen,Termineinlagen,,12.3
2013-10-01,Einlagen,Termineinlagen,Termineinlagen,,0.3
2014-01-01,Einlagen,Termineinlagen,Termineinlagen,,11.6
2014-04-01,Einlagen,Termineinlagen,Termineinlagen,,-11.7
2014-07-01,Einlagen,Termineinlagen,Termineinlagen,,3.3
2014-10-01,Einlagen,Termineinlagen,Termineinlagen,,-13.1
2015-01-01,Einlagen,Termineinlagen,Termineinlagen,,2.3
2015-04-01,Einlagen,Termineinlagen,Termineinlagen,,-4.7
2015-07-01,Einlagen,Termineinlagen,Termineinlagen,,2.9
2015-10-01,Einlagen,Termineinlagen,Termineinlagen,,-0.4
2016-01-01,Einlagen,Termineinlagen,Termineinlagen,,16.8
2016-04-01,Einlagen,Termineinlagen,Termineinlagen,,-5.6
2016-07-01,Einlagen,Termineinlagen,Termineinlagen,,9.4
2016-10-01,Einlagen,Termineinlagen,Termineinlagen,,-13.8
2017-01-01,Einlagen,Termineinlagen,Termineinlagen,,6.1
2017-04-01,Einlagen,Termineinlagen,Termineinlagen,,-12.8
2017-07-01,Einlagen,Termineinlagen,Termineinlagen,,6.5
2017-10-01,Einlagen,Termineinlagen,Termineinlagen,,2.2
2018-01-01,Einlagen,Termineinlagen,Termineinlagen,,-0.1
2018-04-01,Einlagen,Termineinlagen,Termineinlagen,,-3.7
2018-07-01,Einlagen,Termineinlagen,Termineinlagen,,1.8
2018-10-01,Einlagen,Termineinlagen,Termineinlagen,,14.9
2019-01-01,Einlagen,Termineinlagen,Termineinlagen,,-11.1
2019-04-01,Einlagen,Termineinlagen,Termineinlagen,,-19.8
2019-07-01,Einlagen,Termineinlagen,Termineinlagen,,11.8
2019-10-01,Einlagen,Termineinlagen,Termineinlagen,,-5.2
2020-01-01,Einlagen,Termineinlagen,Termineinlagen,,5.7
2020-04-01,Einlagen,Termineinlagen,Termineinlagen,,18.7
2020-07-01,Einlagen,Termineinlagen,Termineinlagen,,21.2
2020-10-01,Einlagen,Termineinlagen,Termineinlagen,,-13.4
2021-01-01,Einlagen,Termineinlagen,Termineinlagen,,-7.4
2021-04-01,Einlagen,Termineinlagen,Termineinlagen,,-14.5
2021-07-01,Einlagen,Termineinlagen,Termineinlagen,,-2.1
2021-10-01,Einlagen,Termineinlagen,Termineinlagen,,22.9
2022-01-01,Einlagen,Termineinlagen,Termineinlagen,,3.3
2022-04-01,Einlagen,Termineinlagen,Termineinlagen,,-21.5
2022-07-01,Einlagen,Termineinlagen,Termineinlagen,,43.9
2022-10-01,Einlagen,Termineinlagen,Termineinlagen,,31.4
2023-01-01,Einlagen,Termineinlagen,Termineinlagen,,14.4
2023-04-01,Einlagen,Termineinlagen,Termineinlagen,,5.3
2023-07-01,Einlagen,Termineinlagen,Termineinlagen,,24.3
2023-10-01,Einlagen,Termineinlagen,Termineinlagen,,1.2
2024-01-01,Einlagen,Termineinlagen,Termineinlagen,,16.9
2024-04-01,Einlagen,Termineinlagen,Termineinlagen,,-12.8
2024-07-01,Einlagen,Termineinlagen,Termineinlagen,,9.8
2024-10-01,Einlagen,Termineinlagen,Termineinlagen,,2.6
2000-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,0.0
2000-04-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2000-07-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
2000-10-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.2
2001-01-01,Einlagen,Spareinlagen und Sparbriefe,Spareinlagen,,-0.1
