GKZ,name,fl_suv,indicator_code,indicator_name,indicator_desc
05358000,Düren,16.64,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05362000,Rhein-Erft-Kreis,28.3,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05366000,Euskirchen,13.58,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05370000,Heinsberg,24.29,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05374000,Oberbergischer Kreis,20.1,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05378000,Rheinisch-Bergischer Kreis,25.85,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05382000,Rhein-Sieg-Kreis,24.23,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05512000,"Bottrop, Stadt",42.24,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05513000,"Gelsenkirchen, Stadt",71.73,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05515000,"Münster, Stadt",33.05,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05554000,Borken,17.56,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05558000,Coesfeld,14.06,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05562000,Recklinghausen,33.05,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05566000,Steinfurt,17.78,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05570000,Warendorf,14.82,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05711000,"Bielefeld, Stadt",43.85,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05754000,Gütersloh,22.0,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05758000,Herford,31.86,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05762000,Höxter,11.34,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05766000,Lippe,17.51,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05770000,Minden-Lübbecke,20.95,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05774000,Paderborn,16.05,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05911000,"Bochum, Stadt",70.25,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05913000,"Dortmund, Stadt",60.08,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05914000,"Hagen, Stadt der FernUniversität",35.61,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05915000,"Hamm, Stadt",33.44,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05916000,"Herne, Stadt",74.13,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05954000,Ennepe-Ruhr-Kreis,29.27,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05958000,Hochsauerlandkreis,12.64,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
05962000,Märkischer Kreis,17.08,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
