GKZ,Kreisname,Deutschlandatlas_KRS1222__fl_suv,Deutschlandatlas_KRS1222__fl_landw,Deutschlandatlas_KRS1222__fl_wald,Deutschlandatlas_KRS1222__bev_binw,Deutschlandatlas_KRS1222__bev_ausw,Deutschlandatlas_KRS1222__ko_kasskred,Deutschlandatlas_KRS1222__bev_u18,Deutschlandatlas_KRS1222__bev_18_65,Deutschlandatlas_KRS1222__bev_ue65,Deutschlandatlas_KRS1222__bev_ausl,Deutschlandatlas_KRS1222__mitgl_sportv,Deutschlandatlas_KRS1222__ew_sportv,Deutschlandatlas_KRS1222__wahl_beteil,Deutschlandatlas_KRS1222__preis_miet,Deutschlandatlas_KRS1222__wohn_eigen,Deutschlandatlas_KRS1222__wohn_leer,Deutschlandatlas_KRS1222__wohn_EZFH,Deutschlandatlas_KRS1222__wohn_MFH,Deutschlandatlas_KRS1222__heiz_wohn_best,Deutschlandatlas_KRS1222__heiz_wohn,Deutschlandatlas_KRS1222__bquali_unifh,Deutschlandatlas_KRS1222__bquali_mabschl,Deutschlandatlas_KRS1222__bquali_oabschl,Deutschlandatlas_KRS1222__erw_wachs,Deutschlandatlas_KRS1222__erw_vol,Deutschlandatlas_KRS1222__erw_mini,Deutschlandatlas_KRS1222__erw_minineben,Deutschlandatlas_KRS1222__teilz_insg,Deutschlandatlas_KRS1222__teilz_w,Deutschlandatlas_KRS1222__teilz_m,Deutschlandatlas_KRS1222__erw_bip,Deutschlandatlas_KRS1222__alq,Deutschlandatlas_KRS1222__hh_veink,Deutschlandatlas_KRS1222__elterng_v,Deutschlandatlas_KRS1222__schulden,Deutschlandatlas_KRS1222__grusi_insg,Deutschlandatlas_KRS1222__grusi_w,Deutschlandatlas_KRS1222__grusi_m,Deutschlandatlas_KRS1222__sozsich,Deutschlandatlas_KRS1222__auto,Deutschlandatlas_KRS1222__elade,Deutschlandatlas_KRS1222__eauto,Deutschlandatlas_KRS1222__v_harzt,Deutschlandatlas_KRS1222__v_karzt,Deutschlandatlas_KRS1222__schule_oabschl,Deutschlandatlas_KRS1222__kbetr_u3,Deutschlandatlas_KRS1222__kbetr_ue3,Deutschlandatlas_KRS1222__kbetr_ue6,Deutschlandatlas_KRS1222__kbtr_pers,Deutschlandatlas_KRS1222__kinder_bg,Deutschlandatlas_KRS1222__straft,Deutschlandatlas_KRS1222__einbr,Deutschlandatlas_KRS1221__preis_baul,Deutschlandatlas_KRS1221__pfl_ambu,Deutschlandatlas_KRS1221__pfl_stat,Deutschlandatlas_KRS1221__pfl_geld
05513000,"Gelsenkirchen, Stadt",71.73,11.32,13.73,13.16,119.51,1526,18.92,60.4,20.68,24.01,76.12,77.19,74.5,"5,50 bis unter 7,00",23.48158998085761,5.39,2.8000000000000003,3.0,2.06647714848021,43.51,12.55,59.29,16.27,0.16,1.0,11.39,6.32,30.2,48.5,15.0,84.73,14.63,18.31,21.9,16.62,6.7,6.6,6.7,22.21,473.4,82.31,2.22,54.2,44.2,10.46,17.7,77.98,7.62,7.44,37.96,9320.532319391636,250.19011406844106,200 bis unter 300,19.2,13.3,51.9
05515000,"Münster, Stadt",33.05,43.35,19.01,16.64,91.32,155,14.95,67.25,17.8,11.96,30.11,89.42,87.5,"11,50 und mehr",27.92773658335468,2.05,7.199999999999999,47.599999999999994,3.6762225969645868,17.31,26.53,52.99,13.44,1.64,7.4,10.77,7.68,34.2,49.3,19.2,82.52,4.9,27.28,57.2,6.13,5.3,4.9,5.7,8.59,470.4,114.96,4.67,62.0,81.7,5.85,41.42,96.69,8.32,5.72,13.86,10851.981330192619,133.66734590865752,500 und mehr,22.0,20.8,43.6
05554000,Borken,17.56,64.13,15.79,46.38,120.66,18,18.57,61.6,19.83,11.28,36.94,96.02,85.1,"7,00 bis unter 8,50",56.817321241239746,2.57,17.5,20.9,7.668789658251578,57.18,9.45,69.24,13.4,1.08,6.8,13.32,9.53,27.4,53.5,8.0,74.65,4.23,26.52,43.5,7.04,2.9,3.2,2.5,5.86,618.6,213.8,4.35,53.3,46.0,4.77,33.43,92.03,8.73,6.32,7.74,6473.474556150579,80.46007333737832,100 bis unter 200,27.8,13.4,46.0
05558000,Coesfeld,14.06,66.52,16.57,61.64,113.31,51,17.75,60.01,22.24,8.21,18.25,89.46,87.3,"8,50 bis unter 10,00",55.18274293308797,2.33,17.1,19.4,8.015762316748438,76.95,10.35,66.76,12.7,1.23,8.0,13.04,8.68,32.1,55.3,11.0,71.17,3.46,27.44,53.3,5.47,2.7,3.0,2.4,6.03,639.5,164.0,3.93,64.0,45.199999999999996,4.38,39.89,95.08,8.53,6.12,7.81,5649.0662773930535,90.79094938849626,100 bis unter 200,23.1,17.9,46.3
05562000,Recklinghausen,33.05,34.6,27.77,-32.58,202.59,1862,17.03,59.42,23.55,13.71,22.04,104.56,80.5,"7,00 bis unter 8,50",40.21558622947971,3.42,4.5,10.0,2.7206391342728136,33.89,11.37,61.48,14.6,0.58,8.1,12.84,6.6,32.8,53.5,13.7,72.73,8.13,23.13,35.0,12.01,4.2,4.3,3.9,13.31,585.4,115.6,2.52,55.300000000000004,43.6,8.52,26.55,86.37,7.71,6.49,21.6,7497.43437485881,200.57056921378918,200 bis unter 300,21.0,14.0,51.1
05566000,Steinfurt,17.78,62.99,16.18,41.45,119.57,105,18.2,61.14,20.67,11.6,31.82,80.18,85.0,"7,00 bis unter 8,50",55.54921016938782,2.6,16.200000000000003,23.5,6.882823882546134,47.36,12.1,64.84,14.16,1.05,7.0,12.24,8.51,30.8,55.5,10.6,74.64,4.55,26.15,49.7,7.07,3.4,3.6,3.1,7.04,618.6,113.1,3.94,60.7,45.199999999999996,5.43,37.83,92.22,8.25,6.06,9.08,5660.249220091836,68.13242665358057,200 bis unter 300,25.2,13.0,49.4
05570000,Warendorf,14.82,68.92,13.67,57.64,119.39,72,17.97,60.05,21.99,12.51,30.45,94.59,84.7,"7,00 bis unter 8,50",53.818792054086174,2.85,17.3,24.2,5.854612376351507,56.15,12.15,65.15,14.42,1.17,10.4,11.77,8.42,29.0,52.9,10.3,70.62,5.4,27.01,49.1,7.05,2.9,3.2,2.6,6.88,631.5,148.82,3.44,57.699999999999996,45.199999999999996,4.06,32.48,92.09,8.63,6.16,10.29,4923.06820235029,80.06717139688871,100 bis unter 200,24.5,14.6,48.4
05711000,"Bielefeld, Stadt",43.85,32.61,22.46,-160.73,313.54,173,17.56,62.44,20.0,17.4,25.53,75.96,81.8,"8,50 bis unter 10,00",32.63320953095364,3.22,5.4,27.400000000000002,3.564388580969829,42.81,19.85,54.97,16.0,1.52,9.9,9.56,7.52,34.5,53.9,16.5,70.53,8.25,25.06,44.0,9.22,6.4,6.3,6.4,13.01,533.8,130.31,4.71,53.3,59.699999999999996,7.34,30.02,89.42,8.08,5.76,19.78,8144.958206731849,95.46835652554296,300 bis unter 500,25.0,12.6,48.4
05754000,Gütersloh,22.0,58.75,15.15,13.14,147.88,20,18.15,61.5,20.35,15.19,29.89,94.53,83.0,"8,50 bis unter 10,00",50.64094578433327,3.07,11.299999999999999,19.6,7.3427381368535185,66.4,13.13,60.54,15.79,1.5,9.9,9.16,7.82,23.4,48.1,7.2,84.6,4.42,28.62,47.3,7.18,3.2,3.4,3.0,6.52,642.0,152.33,3.85,48.5,45.5,4.33,27.8,88.4,7.75,5.98,8.98,5015.768537794667,75.40889124691294,200 bis unter 300,23.4,12.0,51.4
05758000,Herford,31.86,56.21,10.51,26.19,144.27,390,17.64,59.8,22.56,11.78,26.07,103.73,81.9,"7,00 bis unter 8,50",53.30079295460269,4.39,8.8,13.799999999999999,5.547228842641506,65.27,11.6,64.65,15.82,0.42,2.8,9.15,7.37,29.8,53.8,10.1,75.04,5.65,26.12,41.8,8.75,3.5,3.6,3.2,8.38,659.2,110.37,3.75,49.6,49.900000000000006,4.82,30.71,88.14,8.19,6.23,12.73,4700.435020962253,70.59723684781366,100 bis unter 200,22.7,15.3,47.3
