GKZ,Gemeindename,Deutschlandatlas_GEM1223__st_einnkr,Deutschlandatlas_GEM1223__v_breitb50,Deutschlandatlas_GEM1223__v_breitb1000,Deutschlandatlas_GEM1222__bev_dicht,Deutschlandatlas_GEM1222__bev_entw,Deutschlandatlas_GEM1222__beschq_insg,Deutschlandatlas_GEM1222__beschq_w,Deutschlandatlas_GEM1222__beschq_m,Deutschlandatlas_GEM1222__v_gsm,Deutschlandatlas_GEM1222__v_lte,Deutschlandatlas_GEM1222__v_5g,Deutschlandatlas_GEM1222__p_markt,Deutschlandatlas_GEM1222__p_hbad,Deutschlandatlas_GEM1222__p_freibad,Deutschlandatlas_GEM1222__p_notfall,Deutschlandatlas_GEM1222__p_grunds,Deutschlandatlas_GEM1222__p_sek_1,Deutschlandatlas_GEM1222__p_sek_2,Deutschlandatlas_GEM1221__p_nelade,Deutschlandatlas_GEM1221__p_selade,Deutschlandatlas_GEM1221__p_harzt,Deutschlandatlas_GEM1220__p_apo,Deutschlandatlas_GEM1218__luftrtng,Deutschlandatlas_GEM1218__p_poli
08425098,Rechtenstein,1292.0,62.68,0.0,81.48,0.74,68.09,58.59,78.65,100.0,91.5,82.5,6.07,14.59,14.55,16.2975,4.39,14.53,16.86,7.8,15.3,5.0,5.29,8.98,9.43
08425104,Rottenacker,1415.0,93.62,93.62,217.49,0.38,74.86,67.63,81.28,100.0,100.0,99.6,2.29,7.25,10.655,19.9184615,2.32,7.16,10.85,2.29,6.97,1.9,2.34,7.17,6.0
08425108,"Schelklingen, Stadt",1518.0,93.81,62.58,91.72,0.18,69.48,63.42,74.85,100.0,94.3,95.7,5.91,13.52,4.84,22.594375,3.22,5.75,13.31,6.27,5.77,4.3,5.66,5.12,7.08
08425110,Schnürpflingen,1145.0,90.86,71.62,133.71,0.68,74.91,69.56,80.23,100.0,99.5,99.5,5.58,11.96,13.355,13.5516129,4.82,6.44,14.48,3.24,4.66,4.6,4.79,4.52,10.71
08425112,Setzingen,840.0,95.31,8.59,86.34,1.6,74.41,68.25,80.47,100.0,100.0,98.4,6.66,5.82,22.17,7.26133333,5.41,5.58,7.55,1.17,9.36,5.9,6.64,4.65,9.11
08425123,Untermarchtal,735.0,84.27,0.0,156.23,-0.23,68.71,65.81,71.75,100.0,100.0,99.6,4.11,7.11,12.86,16.305,1.75,7.05,12.08,1.45,9.3,3.9,3.59,8.06,3.27
08425124,Unterstadion,1824.0,93.9,3.05,89.69,0.9,77.82,72.95,82.38,100.0,97.1,94.2,4.57,6.02,10.2,15.9325,3.95,5.96,13.33,1.43,3.26,3.5,4.69,7.59,9.3
08425125,Unterwachingen,1297.0,91.55,0.0,76.54,-0.3,76.07,69.49,82.76,100.0,100.0,100.0,7.66,6.39,8.7,16.9377778,6.32,6.32,16.5,5.26,7.65,5.9,6.71,8.48,7.95
08425130,Weidenstetten,1071.0,94.1,0.0,81.81,0.51,72.64,68.26,76.32,100.0,95.5,82.0,2.1,13.32,20.85,14.6318519,2.63,11.92,14.9,2.22,14.66,2.5,6.24,3.77,10.94
08425134,Westerheim,1778.0,95.01,84.58,131.86,0.19,72.79,68.44,76.87,100.0,97.7,90.7,2.64,3.58,12.26,23.573,2.69,8.2,8.85,5.0,11.76,3.1,2.55,6.64,9.16
08425135,Westerstetten,1526.0,94.31,90.74,170.08,0.44,70.67,64.77,76.67,100.0,99.5,92.1,4.94,14.9,21.195,15.5607143,2.45,14.01,15.38,2.24,9.09,1.9,2.55,2.52,8.58
